id,statut,titre,exp
EX1,Complété,Application mobile,
EX2,Complété,Accès caméra,
EX3,Complété,API Structure,
EX4,Complété,Scanner 3D,
EX5,Complété,Insertion de modèle,
EX6,Complété,Transfert de modèle Structure à ARKit,
EX7,,,
EX8,Complété,Accès au disque,données internes à l'application seulement
EX9,Complété,Sauvegarde sur le disque,données internes à l'application seulement
EX10,Complété,Liste des modèles,
EX11,Annulé,Ouverture sans caméra,Nécessité discutable pour l'état de prototype et fonction primaire de l'application demande la caméra
EX12,Complété,Ouverture sans Structure Sensor,
EX13,Complété,Icon,
EX14,Complété,Données de distance,
EX15,Complété,Transfert de la distance,
EX16,Complété,Présentation de distance,Le cadrillage du plan AR le permet.
EX17,Complété,Interface accueil,
EX18,Complété,Interface Navigation,
EX19,Complété,Interface de scan,
EX20,complété,Interface de manipulation 3D,
EX21,Complété,Interface catalogue,
EX22,Annulé,Interface descriptive d'un modèle,L'utilité de l'interface a été rediscuter.
EX23,Complété,Normes Apple,
EX24,Annulé,Code testable,Les frontière des API sont déjà tester.
EX25,Complété,Swift et Objective-C,
EX26,Complété,Normes de programmation,
EX27,Partielle,Exportation dans un fichier scène,Conversion des modèles scanner à même l'outils de développement possible.
EX28,Partielle,Exportation dans un fichier objet,Sauvegarder dans les fichiers de l'applications peut-être exporter par les développeurs.
EX29,Complété,Temps de démarrage,
EX30,Complété,Fluidité,
EX31,Complété,Exigences de sécurité par l'Apple Store,
EX32,Complété,Données usagers sécurisés,données internes à l'application seulement
EX33,Reporté,Création de nœuds,
EX34,Reporté,Liaison entre les nœuds,
EX35,Reporté,Mouvement de nœuds,
EX36,Reporté,Transfert du mouvement sur le modèle AR,
EX37,Reporté,Détection de squelette dans un modèle (simple),
EX38,Reporté,Détection de squelette dans un modèle (humain),
EX39,Reporté,Limitation des mouvements,
EX40,Reporté,Fluidité des squelettes,
